NYSE,Name,Metric,USD
WMT,Walmart,revenue ($ Billion),514
XOM,Exxon Mobil,revenue ($ Billion),290
AAPL,Apple,revenue ($ Billion),266
BRK.A,Berkshire Hathaway,revenue ($ Billion),248
AMZN,Amazon.com,revenue ($ Billion),233
UHG,UnitedHealth Group,revenue ($ Billion),226
MCK,McKesson,revenue ($ Billion),208
CVS,CVS Health,revenue ($ Billion),195
T,AT&T,revenue ($ Billion),171
ABC,AmerisourceBergen,revenue ($ Billion),168
CVX,Chevron,revenue ($ Billion),166
F,Ford Motor,revenue ($ Billion),160
GM,General Motors,revenue ($ Billion),147
COST,Costco Wholesale,revenue ($ Billion),142
GOOGL,Alphabet,revenue ($ Billion),137
