NYSE,Full Name,Metric,USD
CAH,Cardinal Health,revenue ($ Billion),136.809
WBA,Walgreens Boots Alliance,revenue ($ Billion),131.537
JPM,JPMorgan Chase,revenue ($ Billion),131.412
VZ,Verizon Communications,revenue ($ Billion),130.863
KR,Kroger,revenue ($ Billion),121.162
GE,General Electric,revenue ($ Billion),120.268
FNMA,Fannie Mae,revenue ($ Billion),120.101
PSX,Phillips 66,revenue ($ Billion),114.217
VLO,Valero Energy,revenue ($ Billion),111.407
BAC,Bank of America,revenue ($ Billion),110.584
MSFT,Microsoft,revenue ($ Billion),110.36
HD,Home Depot,revenue ($ Billion),108.203
BA,Boeing,revenue ($ Billion),101.127
WFC,Wells Fargo,revenue ($ Billion),101.06
C,Citigroup,revenue ($ Billion),97.12
